feature,importance_gain
feature_78,33.026259422302246
feature_286,32.86931037902832
feature_267,32.75840997695923
feature_1332,32.59400177001953
feature_299,32.543970584869385
feature_271,32.30567026138306
feature_1137,31.861000061035156
feature_1295,31.841500282287598
feature_321,31.707500457763672
feature_197,31.556299209594727
feature_1230,31.493969917297363
feature_469,31.469499588012695
feature_340,31.21169948577881
feature_775,30.944499015808105
feature_1259,30.939599990844727
feature_309,30.565500259399414
feature_185,29.954859733581543
feature_670,29.601789474487305
feature_409,29.508819580078125
feature_360,28.92201042175293
feature_456,28.8125
feature_470,28.417500495910645
feature_84,28.34564971923828
feature_422,28.250099182128906
feature_880,28.17680072784424
feature_221,28.046899795532227
feature_1006,28.015000343322754
feature_445,28.00860023498535
feature_108,27.612299919128418
feature_986,27.461800575256348
feature_1143,27.320300102233887
feature_465,27.275500297546387
feature_500,27.117700576782227
feature_123,26.76949977874756
feature_102,26.720979690551758
feature_411,26.68910026550293
feature_113,26.40089988708496
feature_128,26.368499755859375
feature_1128,26.274799346923828
feature_378,25.95345973968506
feature_1302,24.810100555419922
feature_245,24.482500076293945
feature_791,24.398170471191406
feature_319,24.35260009765625
feature_1167,24.279800415039062
feature_773,23.915000915527344
feature_1347,23.860000610351562
feature_1258,23.727100372314453
feature_142,23.589099645614624
feature_730,23.47379970550537
feature_1228,23.0231294631958
feature_180,22.871270179748535
feature_7,22.397719463915564
feature_392,22.24139976501465
feature_442,21.942399978637695
feature_861,21.76129913330078
feature_342,21.45711040496826
feature_1208,21.22379970550537
feature_487,21.118999481201172
feature_1325,21.003079414367676
feature_181,20.91744041442871
feature_322,20.91047954559326
feature_95,20.880330562591553
feature_464,20.7721004486084
feature_1120,20.561100006103516
feature_353,20.503299713134766
feature_92,20.317399978637695
feature_351,20.13089942932129
feature_54,19.872900009155273
feature_1307,19.86594009399414
feature_1153,19.81400966644287
feature_414,19.792999267578125
feature_432,19.783080101013184
feature_1149,19.72387981414795
feature_739,19.70026969909668
feature_336,19.689800262451172
feature_425,19.644800186157227
feature_471,19.61549949645996
feature_1019,19.405369758605957
feature_1203,19.229740142822266
feature_334,19.007600784301758
feature_744,18.880020141601562
feature_754,18.87380027770996
feature_345,18.4778995513916
feature_26,18.434829711914062
feature_461,18.41659927368164
feature_478,18.411300659179688
feature_331,18.29358959197998
feature_437,18.14699935913086
feature_184,17.653611022448786
feature_260,17.47516965866089
feature_499,17.073299407958984
feature_305,16.842629551887512
feature_252,16.7278995513916
feature_1268,16.69339942932129
feature_428,16.642099380493164
feature_404,16.488500595092773
feature_1360,16.15719985961914
feature_217,16.104970455169678
feature_277,16.09910011291504
feature_598,16.094999313354492
feature_755,15.972900390625
feature_466,15.829099655151367
feature_390,15.699299812316895
feature_1059,15.6072998046875
feature_415,15.364299774169922
feature_314,15.357000350952148
feature_1267,15.241700172424316
feature_1261,14.872699737548828
feature_146,14.65149974822998
feature_254,14.437800407409668
feature_63,14.430100440979004
feature_282,14.296284489784739
feature_443,13.815799713134766
feature_1225,13.777099609375
feature_66,13.531599998474121
feature_1288,13.259300231933594
feature_104,13.206399917602539
feature_338,13.100700378417969
feature_134,13.062600016593933
feature_380,13.062000274658203
feature_1127,13.056949853897095
feature_815,13.0447998046875
feature_323,13.041000366210938
feature_96,13.032099723815918
feature_1184,12.930399894714355
feature_426,12.924699783325195
feature_98,12.799540042877197
feature_296,12.497340202331543
feature_177,12.359199523925781
feature_97,12.301600456237793
