feature,corr_value
feature_1019,0.00514219006578903
feature_410,0.005137595602026428
feature_1221,0.005029785583513265
feature_96,0.005017006450541363
feature_310,0.0049640586994748655
feature_1277,0.004927283285613887
feature_1219,0.004911547800316183
feature_1214,0.00488974174197951
feature_97,0.004887000127620127
feature_1259,0.004870904701732692
feature_1269,0.004789919717661108
feature_874,0.004784707346874726
feature_161,0.004772969611073248
feature_178,0.004738373270214386
feature_409,0.004724509710557093
feature_1167,0.004704072060082017
feature_5,0.004703667126487876
feature_1166,0.004675730525797644
feature_728,0.004662800637419498
feature_1315,0.00465366885483705
feature_1292,0.00464811824416645
feature_939,0.004643583160726208
feature_1299,0.0046231940478274084
feature_1088,0.004622375574505913
feature_1097,0.004600427338080197
feature_347,0.004590543779896183
feature_1228,0.004577715760866813
feature_1173,0.004574553686665079
feature_1274,0.004563576774630764
feature_289,0.004549142607810458
feature_340,0.004543608272114283
feature_428,0.004505708650267551
feature_1192,0.00448674732995553
feature_11,0.004475665590191117
feature_118,0.004436455736459056
feature_1298,0.004431239130579144
feature_1165,0.004406389097056972
feature_1102,0.0043993759498556235
feature_834,0.004398162241192089
feature_431,0.0043772306596690305
feature_752,0.0043720676874082045
feature_1294,0.00436652915853143
feature_465,0.004315964947069355
feature_1091,0.004308025803850235
feature_926,0.004244658265326695
feature_1300,0.0042178462377244486
feature_46,0.004201801635603938
feature_1308,0.0041940680461329686
feature_426,0.004164032622882739
feature_1283,0.004161923365626651
feature_261,0.004140769453620645
feature_48,0.0041300490712783055
feature_1319,0.004120045918996052
feature_30,0.0041196903611849375
feature_1077,0.004117129187783086
feature_61,0.004106119402239705
feature_1262,0.004078378483334722
feature_792,0.004069798817448127
feature_1303,0.004049375297299926
feature_1318,0.004032053085685225
feature_1270,0.004027463663723839
feature_367,0.00402442089875606
feature_235,0.004023732070465829
feature_1281,0.004017378319900043
feature_461,0.0040117031232749225
feature_177,0.004006948292258144
feature_45,0.0039957395970241965
